"Date","Price","Open","High","Low","Change %"
"Jun 07","4.753","4.753","4.753","4.753","1.71%"
"May 07","4.673","4.673","4.673","4.673","-0.13%"
"Apr 07","4.679","4.679","4.679","4.679","10.38%"
"Mar 07","4.239","4.239","4.239","4.239","-1.46%"
"Feb 07","4.302","4.302","4.302","4.302","1.92%"
"Jan 07","4.221","4.221","4.221","4.221","5.47%"
"Dec 06","4.002","4.002","4.002","4.002","6.15%"
"Nov 06","3.770","3.770","3.770","3.770","-1.57%"
"Oct 06","3.830","3.830","3.830","3.830","3.21%"
"Sep 06","3.711","3.711","3.711","3.711","-2.32%"
"Aug 06","3.799","3.799","3.799","3.799","0.05%"
"Jul 06","3.797","3.797","3.797","3.797","-2.62%"
"Jun 06","3.899","3.899","3.899","3.899","5.95%"
"May 06","3.680","3.680","3.680","3.680","-1.81%"
"Apr 06","3.748","3.748","3.748","3.748","4.40%"
"Mar 06","3.590","3.590","3.590","3.590","8.79%"
"Feb 06","3.300","3.300","3.300","3.300","1.23%"
"Jan 06","3.260","3.260","3.260","3.260","3.76%"
"Dec 05","3.142","3.142","3.142","3.142","13.35%"
"Nov 05","2.772","2.772","2.772","2.772","4.49%"
"Oct 05","2.653","2.653","2.653","2.653","12.89%"
"Sep 05","2.350","2.350","2.350","2.350","0.17%"
"Aug 05","2.346","2.346","2.346","2.346","1.96%"
"Jul 05","2.301","2.301","2.301","2.301","1.50%"
"Jun 05","2.267","2.267","2.267","2.267","-11.13%"
"May 05","2.551","2.551","2.551","2.551","0.12%"
"Apr 05","2.548","2.548","2.548","2.548","-8.74%"
"Mar 05","2.792","2.792","2.792","2.792","1.42%"
"Feb 05","2.753","2.753","2.753","2.753","-3.34%"
"Jan 05","2.848","2.848","2.848","2.848","3.56%"
"Dec 04","2.750","2.750","2.750","2.750","-3.54%"
"Nov 04","2.851","2.851","2.851","2.851","-10.96%"
"Oct 04","3.202","3.202","3.202","3.202","-5.82%"
"Sep 04","3.400","3.400","3.400","3.400","-0.93%"
"Aug 04","3.432","3.432","3.432","3.432","4.00%"
"Jul 04","3.300","3.300","3.300","3.300","0.00%"
"Jun 04","3.300","3.300","3.300","3.300","-0.03%"
"May 04","3.301","3.301","3.301","3.301","0.00%"
"Apr 04","3.301","3.301","3.301","3.301","-47.79%"
"Mar 04","6.322","6.322","6.322","6.322","85.89%"
